language,id,country,user_type,organization,surname,feedback,status,company_size,first_name,reference_initiative,date_feedback,publication,publication_id,publication_status,tr_number,scope,governance_level
en,2665651,BEL,ngo,Equinet,,"Equinet welcomes the opportunity to provide comments on the European Commission’s Proposal for a Regulation on Artificial Intelligence (AI) systems. Equinet further wishes to reiterate its support for this legislative initiative as a timely and valuable opportunity to ensure that the EU becomes the global leader in regulating for AI-enabled technologies that protect and advance fundamental rights, societal wellbeing and the environment.  

Equality is explicitly and prominently addressed as one of the leading fundamental rights concerns related to the impact of AI systems, which the proposed regulation is going to address. Yet, the current text of the Proposal for an AI Regulation provides insufficient guarantees—especially, in the parts on monitoring, compliance and enforcement — that AI-induced harm on the fundamental right to non-discrimination can be effectively identified, prevented or remedied.  

Please find as an attachment the following key recomemndations for the Proposal by Equinet. 
",PUBLISHED,micro,,COM(2021)206,2021-08-06 23:57:37,anonymous,24212003,closed,,,
en,2665650,AUT,ngo,AI Austria,Gorzala,"AI Austria welcomes the opportunity to comment on the proposed Artificial Intelligence Act. We commend the work of the European Commission in developing a framework for artificial intelligence. In certain areas, we believe there are topics to be clarified and considered, which we seek to bring to your attention. We hope our feedback - submitted as a PDF - contributes to the further refinement of the proposed provisions and the creation of an AI framework of trust. ",PUBLISHED,small,Jeannette,COM(2021)206,2021-08-06 23:55:26,withinfo,24212003,closed,,,
en,2665649,DEU,ngo,Digitalcourage e.V.,,"This submission to the AIA consultation is sent on behalf of Digitalcourage e.V, a German NGO that advocates for fundamental rights, privacy and protecting personal data. Digitalcourage is composed of people from a variety of backgrounds who explore technology and politics with a critical mindset, and who want to shape both with a focus on human dignity.

Digitalcourage strongly believes that this is an important regulation in respect to the protection of fundamental rights in the European Union. The upcoming socio-technical developments that are summarised under the term „Artificial Intelligence“ are likely to  weigh heavily on issues of fundamental human rights, e.g. through the use in law-enforcement, migration control or generalised mass surveillance, unless proper safeguards are implemented. 
We increasingly receive individual reports of people that tell us about the negative impact of AI-powered (biometric) surveillance on them. For example this includes workers, that already during their application procedures get assessed on intransparent and potentially discriminatory datasets or whose performance in the assessment procedures is surveilled by supposedly smart systems.
Similarily, we’ve seen a worring increase in the use of such systems in the field of education. Digitalcourage awarded the 2021 German Big Brother Awards to a proctoring company (see here for the elaborated argument: https://bigbrotherawards.de/en/2021/education-proctorio), that implemented permanent video surveillance of students and that implemented algorithmic control mechanisms, which revoked the general presumption of innocence on exam candidates. Such proctoring systems evaluate biometric criteria, such as gestures and eye movements, through automatic behaviour analysis performed by an AI software, that eludes any control by the affected students or their representatives. 
Unless a comprehensive regulation precludes the public and private use of AI against citizens, we are likely to see similar violations of human rights and democratic control to catch on. The power differential inherent in the relations between developers, users and subjects of these technologies requires some form of societal control.

Digitalcourage shares the analysis and endorses the recommendations provided by our partner organisation, European Digital Rights (EDRi). We attach it to our submission and endorse it for review in the consultation.",PUBLISHED,small,,COM(2021)206,2021-08-06 23:53:39,anonymous,24212003,closed,,,
en,2665648,USA,academic_research_instittution,UC Berkeley Center for Human-Compatible AI,,"The EU AI Act is an important step in the right direction toward developing beneficial AI. We particularly welcome the following elements:

- The broad definition of high-risk systems as those potentially impacting health, safety, and fundamental rights, with flexibility to expand
- The recognition and prohibition of “powerful tools for manipulative, exploitative and social control practices”
- The establishment of a permanent Board for oversight and gradual accumulation of expertise
- The prohibition on undeclared “bots” and false-content generation
- The inclusion of post-market monitoring
- The encouragement of codes of conduct along the same lines
- The requirement that a system has “in-built operational constraints that cannot be overridden by the system itself and is responsive to the human operator”
- The inclusion of potentially substantial penalties

Recommendations
We have identified three priorities, detailed in the following pages: 



1. Make the regulation future-proof and prepare for higher-risk systems

- Update the regulation to address increasingly generalized AI systems that have multiple purposes, such as OpenAI’s Generative Pre-trained Transformer 3 and DeepMind’s AlphaFold system
- Article 3(13) “reasonably foreseeable misuse” and “interaction with other systems”: Explicitly consider the issue of high-risk and societal-scale consequences stemming from the interaction of many low-risk systems
- Article 6 classification rules for high-risk systems: Include recommender systems in the classification rules for high-risk systems
- Article 6 classification rules for high-risk systems: Include the requirements to document perceptual inputs, action outputs, objectives, and the operational environment for high-risk systems
- Article 6 classification rules for high-risk systems: Include the requirements to document time-of-sale properties of systems
- List of high-risk categories in Annex III: Add categories


2. Protect people from psychological harm

- Article 5 (1) (a) on psychological manipulation: Consider expanding the current definition of “subliminal techniques beyond a person’s consciousness”
- Section 3.5 of the Explanatory Memorandum: Include the protection of mental integrity in the Explanatory Memorandum
- Article 53 (AI regulatory sandboxes): Recognize the limit of sandboxes


3. Clarify key components of the regulation

- Article 3 (1) Definition of AI: Delete the mention of “a given set of human-defined objectives”
- Article 3 (16): Modify the notion of “recalling” an AI system
- Article 3 (33, 34, 35): Redefine the notion of “biometric data” more generally
- Article 10 on data governance: Clarify training, validation, and test stipulation
- Article 12: Clarify the primary purposes of logging
- Article 13 on transparency: Transparency requirements should require internal processing to be made available and understandable
- Article 15.3: Clarify the issue of performativity (“feedback loops”)
- Article 64: Clarify the type of access granted to the datasets used by the provider
- Article 5.1(c) on social scoring: Clarify the application of social scoring and reinforce protection from manipulative, exploitative, and social control practices
",PUBLISHED,small,,COM(2021)206,2021-08-06 23:53:31,anonymous,24212003,closed,,,
en,2665647,USA,company,CrowdStrike,,"In response to the European Commission’s request for public consultation on Artificial Intelligence, CrowdStrike offers the following views located in the attached pdf. Thank you. ",PUBLISHED,large,,COM(2021)206,2021-08-06 23:50:16,anonymous,24212003,closed,,,
en,2665646,GBR,ngo,Fair Trials,Min,"Fair Trials welcomes the fact that the EU is taking a much-needed legislative approach to regulate and limit the use of artificial intelligence (AI), and that it recognises that the use of AI in law enforcement and criminal justice can have serious implications for fundamental rights. 

AI systems are used by European law enforcement and criminal justice authorities to predict and profile people’s actions and assess risk, leading to surveillance, stop and search, questioning, arrest and detention, and sentencing and probation, as well as other non-criminal justice punishments such as the denial of welfare, housing, education or other essential services. In doing so, these systems engage and infringe fundamental rights, including the right to a fair trial, privacy, and data protection rights, as well as reproducing and reinforcing discrimination on grounds including but not limited to race, socio-economic status and nationality. As more and more countries are turning to AI in law enforcement and criminal justice, it is more crucial than ever that the EU takes this opportunity to become a leading standard-setter in this area, ensuring the protection of fundamental rights.

However, while recognising the risks to some extent, the AI Act does not go nearly far enough to prevent certain fundamentally harmful uses, particularly in relation to law enforcement and criminal justice, which will have damaging consequences across Europe for generations. 
In order to do this meaningfully, the Act must prohibit AI used by law enforcement, and judicial and criminal justice authorities used to predict, profile or assess people’s risk or likelihood of ‘criminal’ behaviour, generate reasonable suspicion, and justify law enforcement or criminal justice action, such as surveillance, stop and search, arrest, detention, pre-trial detention, sentencing and probation. No amount of safeguards, short of a full statutory prohibition, will protect against these fundamental harms effectively. 

In the absence of a full prohibition, and to prevent additional harms, uphold the rule of law and safeguard justice systems, there are several bare minimum safeguards and requirements that can be adopted to lessen the fundamental rights impact of these AI systems. In particular:

a)	The AI Act contains vague and non-specific ‘bias’ requirements, none of which will prevent discrimination and bias. AI systems used in law enforcement and criminal justice contexts must be subject to mandatory, independent bias testing, but the feasibility of such testing depends on the availability of criminal justice data that is severely lacking in the EU;
b)	The AI Act must require more openness, transparency, and explainability of AI systems and their use, the decisions that are made, and significantly, must focus not just on ensuring transparency to the users of the systems, but also to those individuals impacted by AI or AI-assisted decisions;
c)	Given that AI can have a significant impact on individuals when it is used in law enforcement and criminal justice, it is crucial that there are effective avenues for individuals to challenge not just the AI decisions, but also the system itself. However, the AI Act does not facilitate or provide clear routes for challenge or redress for individuals attempting to contest or challenge AI systems, or their decisions; and
d)	The AI Act includes several exemptions for uses of AI from safeguards. This means that there is a lack of protection against a technology that can engage and infringe fundamental rights, including the right to a fair trial, privacy and data protection rights, as well as result in discrimination based on race, socio-economic status or class and nationality. 
",PUBLISHED,small,Bruno,COM(2021)206,2021-08-06 23:49:16,withinfo,24212003,closed,,,
en,2665645,USA,business_association,American Property Casualty Insurance Association,,Please find attached comments from the American Property Casualty Insurance Association.,PUBLISHED,medium,,COM(2021)206,2021-08-06 23:37:22,anonymous,24212003,closed,,,
en,2665643,BEL,ngo,Confederation of Laboratories for AI Research in Europe (CLAIRE),The Hague,"CLAIRE welcomes the opportunity to provide feedback and supports the European Commission's drive towards a balance between regulation and innovation, where citizens’ rights are well protected, while facilitating investment and innovation. However, we find that the sum of the initiatives, as they are currently planned, does not achieve this balance. 

We see five major issues:

- The proposed regulation shows a problematic focus on a particular, flawed definition of AI technologies. We believe that regulation of technology is important, but that the focus should be on the uses and applications of technology, rather than on a specific set of technologies that are being used. AI technology evolves, and even experts disagree which technologies fall within the scope of AI. Regulation aimed at ensuring the responsible use of AI should therefore be as technology-neutral as possible.

- The proposed regulation is too broad and vague to effectively boost the impactful development and use of ""AI made in Europe"", and to strengthen, rather than weaken, the global competitiveness of the EU economy.

- The proposed regulation does not achieve a reasonable balance between cost, investments and effects for companies, governments and society. It places a regulatory burden on the European economy that is particularly challenging for SMEs, startups and micro-enterprises, while other elements of the coordinate plans do not provide effective instruments to offset this burden.

- The proposed regulation is vague on implications to citizens' rights and provides exceptions in government uses of AI that are likely to negatively impact citizens.

- The coordinated plan is lacking key mechanisms for ensuring global relevance and leadership of ""AI made in Europe"". It encompasses a vast array of instruments and mechanisms, each of which is rather modestly funded in relation to the ambitious goals of the plan. The plan lacks coordination between these mechanisms. It also lacks large-scale signature initiatives that can address key challenges within the fragmented European AI ecosystem.

Overall, CLAIRE believes the intention underlying the proposed regulation is good, but that it does not achieve the intended upsides, while creating downsides of serious concern. Likewise, the coordinated plan, of which the proposed regulation forms an integral part, is pursuing worthwhile and achievable goals, but the level of funding and the array of mechanisms currently foreseen is insufficient for realising the ambition of European leadership in key areas and applications of AI and carries major risks of Europe falling further behind the fast-moving global leaders.

The official feedback from CLAIRE to the European Commission first comments on key aspects of the proposed regulation (Section 2), then discusses the revised version of the coordinated action plan (Section 3), and finally provides some high-level conclusions and a brief outlook on future engagement with the European AI strategy (Section 4). 

CLAIRE deliberately addresses the proposed regulation as well as the coordinated plan, since the former is a key element of the latter (see Chapter 9 of the coordinated plan), and regulation related to AI interacts with other elements of the European AI strategy as outlined in the coordinated plan.",PUBLISHED,large,CLAIRE HQ,COM(2021)206,2021-08-06 23:22:48,withinfo,24212003,closed,205170133342-09,,
en,2665642,NLD,academic_research_instittution,University of Cambridge,janssen,"Dear European Commission,

Please note that this contribution is a personal contribution, and that it does not necessarily reflect the opinion of the institutions I'm employed by.

Thank you for the opportunity to respond to the proposed AI Act. 

I'd like to focus on the risk impact approach taken in the proposed Act. Instead of assigning sectors or specified technical mechanisms as high risk (as currently proposed in the AI Act), it might perhaps be useful to develop a fit-for-purpose *spectrum of risks* occurring from AI systems, that takes fundamental rights, the methods of data processing, the balance between legitimate organisational interests and an individuals's (or group's) fundamental rights protection into consideration in specific use cases. This might better help avoid under- or over inclusiveness of risks and impacts to fundamental rights, and of organisational costs. The approach seeks to apply like and to align with GDPR's DPIA (but it could also be applied independently).  

The Commission has in recent policy reports more than once stipulated that AI systems that AI systems should be designed in a *human-centric* way, and that *innovation and fundamental rights protection are two sides of the same coin*: there is no trustworthy and prospering innovation without fundamental rights protection, and vice versa. Please find enclosed an article (2020) discussing an alternative risk assessment approach that underpins that human centric approach, while respecting innovation ambitions. It seeks to offer organisations approaches for practical tools to identify themselves whether their AI system carries a risk to the rights and freedoms of natural persons, in alignment with obligations arising under Art. 35 GDPR. Art. 29 (6) of the proposed AI Act also obliges organisations to perform a DPIA as per the GDPR, whenever they identify high risk to rights and freedoms.

Dr. H.L. Janssen

University of Cambridge, Compliant & Accountable Systems Research Group
University of Amsterdam, Blockchain Society & Policy Research Group",PUBLISHED,micro,heleen,COM(2021)206,2021-08-06 22:47:41,withinfo,24212003,closed,,,
en,2665641,USA,company,U.S. Chamber of Commerce,O'Dea,The U.S. Chamber of Commerce welcomes the opportunity to comment on the European Commission’s Artificial Intelligence Act (“Act” or “AI Act). Please find our comments in the attached document. ,PUBLISHED,large,Ciara,COM(2021)206,2021-08-06 22:34:42,withinfo,24212003,closed,483024821178-51 ,,
